Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_707.jpg;0;0.1520074;0;1.889005;102.269;87.26466;1.180205;28.50319;-0.0003851869
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_776.jpg;0;0;0;1.892203;102.3675;87.31758;1.086782;28.49205;-0.0002960993
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_848.jpg;0;0;0;1.887246;102.4975;87.3875;0.9144573;28.4779;-3.834465E-05
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_918.jpg;0;0;0;1.879479;102.5943;87.43955;0.7613006;28.46851;0.001927191
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_990.jpg;0;0;0;1.873589;102.7225;87.5087;0.5396786;28.46141;0.01470925
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_062.jpg;0;0;0;1.865638;102.8498;87.57765;0.3113086;28.46045;0.03763504
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_131.jpg;-3.218171;0;0;1.857573;102.9458;87.62748;0.1356476;28.19552;0.01325087
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_202.jpg;-6.3538;0;0;1.85064;103.0748;87.69015;359.9018;27.36253;359.8985
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_272.jpg;-9.545055;0;0;1.840264;103.1728;87.73432;359.7549;26.41643;359.7704
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_346.jpg;-12.76241;0;0;1.830216;103.3057;87.78814;359.6286;24.68267;359.5453
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_415.jpg;-15;0;0;1.814361;103.4068;87.82442;359.5833;23.13165;359.3417
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_485.jpg;-15;0;0;1.80145;103.5436;87.86959;359.635;21.057;359.1183
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_555.jpg;-15;0;0;1.788288;103.6484;87.9011;359.8028;19.53142;359.0294
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_626.jpg;-15;0;0;1.776841;103.7891;87.93669;0.04872332;17.34969;358.9066
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_694.jpg;-15;0;0;1.762807;103.8919;87.95989;0.07030481;15.69985;358.8934
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_764.jpg;-15;0;0;1.757272;104.0268;87.98494;359.9484;13.57774;358.9338
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_829.jpg;-11.90147;0;0;1.748382;104.129;88.00191;359.9077;12.25523;358.9963
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_900.jpg;-8.894957;0;0;1.743437;104.2313;88.01789;359.8801;11.21089;359.0672
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_53_966.jpg;-5.754042;0;0;1.73834;104.3674;88.03901;359.8433;10.27893;359.1893
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_034.jpg;-2.755864;0;0;1.73154;104.469;88.0552;359.8079;9.890594;359.3015
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_103.jpg;0;0;0;1.726032;104.6037;88.07825;359.753;9.799004;359.4937
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_169.jpg;0;0;0;1.717888;104.7043;88.09554;359.7112;9.794022;359.637
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_236.jpg;0;0;0;1.712044;104.8046;88.11275;359.671;9.793243;359.7745
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_300.jpg;0;0;0;1.70618;104.9046;88.12988;359.6334;9.793022;359.9041
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_366.jpg;0;0;0;1.700302;105.0375;88.1526;359.5888;9.792877;0.06129115
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_432.jpg;0;0;0;1.692456;105.137;88.16945;359.5677;9.788872;0.1565472
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_500.jpg;0;0;0;1.686371;105.2365;88.18626;359.5672;9.783257;0.2269586
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_567.jpg;0;0;0;1.680037;105.3689;88.20873;359.5844;9.778381;0.2943381
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_634.jpg;0;0;0;1.671947;105.4679;88.22562;359.6052;9.77668;0.3283357
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_699.jpg;0;0;0;1.666016;105.5667;88.24241;359.6311;9.773621;0.3458075
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_766.jpg;0;0;0;1.660076;105.6978;88.26485;359.6639;9.77298;0.3561187
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_832.jpg;0;0;0;1.652541;105.7957;88.28156;359.689;9.770836;0.3491842
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_897.jpg;0;0;0;1.646769;105.8932;88.29829;359.7114;9.770401;0.3358091
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_54_964.jpg;0;0;0;1.641197;106.0226;88.3205;359.7328;9.770393;0.3096936
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_030.jpg;2.987915;0;0;1.633816;106.1189;88.33867;359.7461;10.00844;0.3184072
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_55_094.jpg;5.984143;0;0;1.627578;106.2144;88.35902;359.7609;10.5502;0.3643636
